q_id;Sezione;Tipo_Domanda;Testo_Originale;Testo_Migliorato;Tipo_Risposta;Opzioni_Risposta;Logica_Condizionale;Obiettivo;Suggerimento_Miglioramento;
Q0;Presentazione;Testo informativo;(Presentazione del questionario - non esplicitata);Questo questionario ci aiuta a capire come le persone scelgono dove andare al cinema o a teatro. Ci vogliono circa 5 minuti. Le risposte sono anonime.;Nessuna (testo introduttivo);;;Contestualizzare il questionario e aumentare il tasso di completamento;Aggiungere sempre una breve intro con: scopo, tempo stimato, anonimato. Riduce il drop-off iniziale del 15-20% (best practice NN/Group). Menzionare l'incentivo se presente.;
Q1;Screening;Scelta singola;Vuoi compilare per Cinema o teatro?;Sei un frequentatore abituale di cinema, teatro o entrambi?;Radio button;Cinema | Teatro | Entrambi | Nessuno dei due;Cinema → mostra sezione Cinema | Teatro → mostra sezione Teatro | Entrambi → mostra prima Cinema poi Teatro | nessuno → termina questionario;Segmentare il rispondente e attivare logica condizionale;Riformulare in positivo come filtro comportamentale ('frequentatore abituale') per scremare chi non è nel target. Aggiungere opzione 'Nessuno dei due' per identificare e scartare profili fuori target prima di procedere.;
Q2;Anagrafica;Scelta singola;Dove vivi (paese/nazione)?;In quale paese vivi attualmente?;Dropdown;Italia | Francia | Germania | Spagna | Regno Unito | Altro (specifica);;Segmentazione geografica macro per analisi di mercato internazionale;Usare dropdown con i paesi prioritari in cima (es. Italia, Francia, UK) e 'Altro' in fondo. Evitare campo aperto per normalizzare i dati. Utile per confrontare abitudini tra mercati europei diversi.;
Q3;Anagrafica;Scelta singola;Dove vivi (città/aree interne)?;Come descriveresti il contesto in cui vivi?;Radio button;Grande città (>250.000 ab.) | Città media (50.000–250.000 ab.) | Piccola città/paese (<50.000 ab.) | Area rurale o montana;;Capire l'accesso geografico all'offerta culturale e la densità di sale;Sostituire 'aree interne' (gergo tecnico-policy) con fasce demografiche comprensibili. La dimensione del comune è un proxy migliore per stimare l'offerta disponibile sul territorio e la distanza media dalla sala.;
Q4;Anagrafica;Scelta singola;Fascia d'età;Qual è la tua fascia di età?;Radio button;Meno di 18 | 18–24 | 25–34 | 35–44 | 45–54 | 55–64 | 65 o più;;Segmentazione demografica per analisi generazionale dei comportamenti;Usare range standard Nielsen/MPA per comparabilità con benchmark di settore. Evitare fasce troppo ampie (es. '18–40') che perdono granularità. L'età è il secondo predittore più forte della frequenza in sala dopo la residenza.;
Q5C;Comportamento;Scelta singola;La frequenza con cui vai al cinema;Con che frequenza vai al cinema? (riferito agli ultimi 12 mesi);Radio button;Più volte a settimana | Una volta a settimana | 2–3 volte al mese | Una volta al mese | Meno di una volta al mese | Raramente (poche volte l'anno);Mostrare versione cinema o teatro in base a Q1;Definire il profilo di frequenza per segmentare heavy/light users;Specificare il periodo di riferimento ('negli ultimi 12 mesi') per ancorare il comportamento. Aggiungere 'Mai' per non escludere chi non va: utile per capire le barriere. Il dato di frequenza è il KPI principale per la segmentazione beachhead.;
Q6C;Comportamento;Scelta singola;Frequenti più cinema (quanti)?;Quanti cinema diversi frequenti abitualmente?;Radio button;Solo uno | 2–3 | 4 o più | Non ho un posto fisso, vario sempre;;Misurare la fedeltà alla struttura vs. comportamento esplorativo;Questo dato è cruciale per capire se il prodotto deve puntare sulla loyalty (utente mono-sala) o sulla discovery (utente multi-sala). Aggiungere follow-up condizionale: se '4 o più' → chiedere il motivo della varietà (es. genere film, offerte, location).;
Q7C;Criteri di scelta;Ranking;Quali sono le cose che valuti maggiormente quando scegli dove andare al cinema?;Quando scegli un cinema, quali fattori influenzano la tua decisione? Seleziona fino a 4 e mettili in ordine di importanza.;Drag-and-drop ranking (o max 3 checkbox con priorità);Qualità della sala (comfort, dimesnioni, struttura) | Qualità audio/video (incluso schermo, surround, qualità del proiettore) | Accessibilità per persone con disabilità (poltrone dedicate, programmazione audio o in testo semplificato, rampe e ascensori, indicazioni in braille... ) | Vicinanza a casa/lavoro o trasporti pubbici | Facilità di trovare informazioni | Orari comodi | Prezzo del biglietto | Programmazione (tipo di film in cartellone, novità, rassegne) | Abitudine | Altro (specifica);Randomizzare l'ordine delle opzioni ad ogni somministrazione;Identificare i driver di scelta principali per prioritizzare le funzionalità del prodotto;Sostituire 'valuti maggiormente' (vago) con selezione+ranking: fornisce dati ordinali più utili. Aggiungere 'Prezzo' e 'Programmazione' che nella letteratura sul cinema-going sono i top driver (MPA, 2023). Randomizzare l'ordine delle opzioni per evitare bias di posizione.;
Q8C;Criteri di scelta;Scelta singola;Come reperisci le informazioni su cinema/teatro?;Con quale frequenza usi questi strumenti per scegliere dove andare al cinema?;Matrice Likert 1–5 (più volte la settimana | una volta a settimana | 2-3 volte al mese | meno di una volta al mese | quando capita | mai);Sito web del cinema | App dedicata (es. MYmovies, Coming Soon) | Google Maps/ricerca Google | Social media (Instagram, TikTok, Facebook) | Passaparola / amici | Newsletter | Manifesti/locandine fisiche | Altro (specifica);;Mappare il customer journey informativo e identificare i touchpoint attuali;Questa è una delle domande più strategiche: rivela dove il prodotto deve posizionarsi nel journey. Limitare a max 2 risposte forza la prioritizzazione. Separare 'scoperta film' da 'scelta sala': sono due bisogni distinti che potrebbero richiedere feature diverse.;
Q9C;Criteri di scelta;Scelta singola;Qual è per te il fattore più importante nella scelta di un cinema?;Se dovessi scegliere UN SOLO fattore decisivo per selezionare un cinema, quale sarebbe?;Radio button;Qualità della sala (comfort, dimesnioni, struttura) | Qualità audio/video (incluso schermo, surround, qualità del proiettore) | Accessibilità per persone con disabilità (poltrone dedicate, programmazione audio o in testo semplificato, rampe e ascensori, indicazioni in braille... ) | Vicinanza a casa/lavoro o trasporti pubbici | Facilità di trovare informazioni | Orari comodi | Prezzo del biglietto | Programmazione (tipo di film in cartellone, novità, rassegne) | Abitudine;;Isolare il singolo value driver per definire la proposta di valore del prodotto;Forzare la scelta singola rivela il vero trade-off nei criteri decisionali. La formulazione 'UN SOLO fattore' è volutamente vincolante e più rivelante di una scala. Usare come input diretto per la definizione del Full Life Cycle Use Case (step 5 Disciplined Entrepreneurship).;
